productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
MOTOR,premium,CR0031,CR0031 Risk Expiry Date,cr0031,conditional,risk_not_submitted_separately,policy,expiryDate,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
MOTOR,premium,CR0035,CR0035 Insured Name,cr0035,conditional,risk_not_submitted_separately,policyHolder,name,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
MOTOR,premium,CR0056,CR0056 Premium Transaction Type,cr0056,mandatory,always,premiumTransaction,transactionType,,typed_column,false,issuance and movement-sign based mapping to Original/Additional/Return Premium,NB/NB-COC/RNL->Original Premium; positive movement->Additional Premium; negative/refund->Return Premium,high,requiredness:mandatory;severity:error;applicability:always,NB/NB-COC/RNL->Original Premium; positive movement->Additional Premium; negative/refund->Return Premium,Financial premium movement type for Lloyd’s export; not an internal workflow code.
MOTOR,premium,CR0057,CR0057 Effective Date of Transaction,cr0057,mandatory,always,premiumTransaction,createdAt,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0058,CR0058 Expiry Date of Transaction,cr0058,conditional,premium_has_transaction_expiry,riskTransaction,expiryDate,,typed_column,false,,policy.expiryDate,high,requiredness:conditional;severity:warning;applicability:premium_has_transaction_expiry,policy.expiryDate,
MOTOR,premium,CR0059,CR0059 Gross Premium Paid This Time,cr0059,mandatory,always,premiumTransaction,grossPremium,,typed_column,false,,quoteResponse.primaryOption.annualPremium,high,requiredness:mandatory;severity:error;applicability:always,quoteResponse.primaryOption.annualPremium,
MOTOR,premium,CR0061,CR0061 Commission Percentage,cr0061,mandatory,premium_has_commission,premiumTransaction,commissionPercent,,typed_column,false,,binder.financials.commissionRate -> binder.config.reporting.commissionPercent -> 30,high,requiredness:mandatory;severity:error;applicability:premium_has_commission,binder.financials.commissionRate -> binder.config.reporting.commissionPercent -> 30,
MOTOR,premium,CR0062,CR0062 Commission Amount,cr0062,mandatory,premium_has_commission,premiumTransaction,commissionAmount,,typed_column,false,CR0059 * CR0061 / 100,,high,requiredness:mandatory;severity:error;applicability:premium_has_commission,,
MOTOR,premium,CR0064,CR0064 Total Taxes and Levies,cr0064,mandatory,premium_has_taxes,premiumTransaction,taxesTotal,,typed_column,false,stampDuty from pricing cost breakdown,2,high,requiredness:mandatory;severity:error;applicability:premium_has_taxes,2,Tax bucket only (stamp duty). Do not include MIF surcharge in CR0064.
MOTOR,premium,CR0065,CR0065 Net Premium to London (Original Currency),cr0065,mandatory,always,premiumTransaction,netToLondon,,typed_column,false,CR0059 - CR0062,,high,requiredness:mandatory;severity:error;applicability:always,,Net to London is gross premium less commission. Fees/taxes are not subtracted from CR0065 in current model.
MOTOR,premium,CR0066,CR0066 Settlement Currency,cr0066,conditional,settlement_currency_differs,binder,settlementCurrency,,typed_column,false,,premiumTransaction.settlementCurrency -> premiumTransaction.currency,high,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,premiumTransaction.settlementCurrency -> premiumTransaction.currency,
MOTOR,premium,CR0067,CR0067 Rate of Exchange,cr0067,conditional,settlement_currency_differs,premiumTransaction,fxRate,,computed,false,,premiumTransaction.exchangeRate -> 1,medium,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,premiumTransaction.exchangeRate -> 1,
MOTOR,premium,CR0068,CR0068 Net Premium to London (Settlement Currency),cr0068,conditional,settlement_currency_differs,premiumTransaction,netToLondonSettlement,,computed,false,,netToLondon * exchangeRate,medium,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,netToLondon * exchangeRate,
MOTOR,premium,CR0077,CR0077 Tax 1 Territory,cr0077,optional,always,taxLine,jurisdiction,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0078,CR0078 Tax 1 Type,cr0078,optional,always,taxLine,taxType,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0079,CR0079 Tax 1 Taxable Amount,cr0079,optional,always,taxLine,taxableAmount,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0080,CR0080 Tax 1 Rate,cr0080,optional,always,taxLine,rate,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,Intentionally blank when tax is fixed-amount and CR0081 is populated.
MOTOR,premium,CR0081,CR0081 Tax 1 Fixed Rate,cr0081,optional,always,taxLine,fixedRate,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,"For fixed-amount taxes (e.g. stamp duty), CR0081 is populated while CR0080 remains blank."
MOTOR,premium,CR0083,CR0083 Tax 1 Amount,cr0083,optional,always,taxLine,taxAmount,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0288,CR0288 Number of Instalments,cr0288,mandatory,always,policy,quoteData.numberOfInstalments,,derived_projection,false,,1,medium,requiredness:mandatory;severity:error;applicability:always,1,
MOTOR,premium,CR0289,CR0289 Instalment Basis,cr0289,mandatory,always,policy,quoteData.instalmentBasis,,derived_projection,false,,Single,medium,requiredness:mandatory;severity:error;applicability:always,Single,
MOTOR,premium,CR0925,CR0925 Total Fee Amount,cr0925,mandatory,premium_has_fees,premiumTransaction,feesTotal,,typed_column,false,mifSurcharge from pricing cost breakdown,9,high,requiredness:mandatory;severity:error;applicability:premium_has_fees,9,Fee bucket only (MIF surcharge). Do not include stamp duty in CR0925.
MOTOR,premium,CR1297,CR1297 Lloyds Platform,cr1297,mandatory,always,binder,config.reporting.lloydsPlatform,,json_snapshot,false,,binder.reportingConfig.destinationPlatform -> binder.config.reporting.lloydsPlatform -> LBS for ABBEYGATE0125,medium,requiredness:mandatory;severity:error;applicability:always,binder.reportingConfig.destinationPlatform -> binder.config.reporting.lloydsPlatform -> LBS for ABBEYGATE0125,Canonical source is binder reporting config; ABBEYGATE0125 uses LBS default until config is explicitly set.
